"","ERR188044","ERR188104","ERR188234","ERR188245","ERR188257","ERR188273","ERR188337","ERR188383","ERR188401","ERR188428","ERR188454","ERR204916"
"NM_006274",7.82624916454103,8.01445120952782,7.38205262846644,7.96772790127003,7.38205262846644,7.38205262846644,7.82689805970893,7.85686651298323,8.40275531214356,7.89365224904039,7.38205262846644,7.93236865004027
"NM_001014834",7.6817564582512,7.68347298157834,7.68422362081375,8.34465936359135,8.02312529359321,7.95619655361961,8.01282349305516,8.56343810460428,8.61282201393134,8.49137016902231,7.70278987846937,7.70662113091051
"NM_001308257",8.88727922365383,8.89244568474863,8.80984021885961,9.25180736381485,9.05027944819101,8.76237301180544,9.0972162369582,8.97187179196483,9.23867867951905,8.81221192004739,9.07141020325501,8.75634036492531
"NM_001042383",7.6817564582512,8.04584457322799,7.68422362081375,7.73489566875631,8.31834599956511,7.79345927812807,7.68230897063899,7.70791347455429,7.66642725412686,7.73954057202614,7.70278987846937,8.00854272814159
"NM_007106",9.93461415655926,10.0438751196432,9.81866282538127,9.85168722292394,9.90625113023744,10.1346727330296,10.2261506187375,10.1123834111116,9.814583145581,10.1629776375445,9.88073707819251,9.91442061393939
"NM_001271187",9.56057631536398,9.59992886374654,9.71062314803036,10.2238579822903,9.96884038749911,9.41476302174062,9.6614078181984,9.07699135481996,9.29485437588634,8.97110352370171,9.39467777734543,9.08173041628809
"NM_014001",8.64165881206354,8.76522078651905,8.97590465247007,8.4299458173854,8.51568633784854,9.30094223324004,8.29986446106843,7.70791347455429,7.84912905362865,9.03495548746811,8.85060823982842,7.8553584575989
"NM_001257134",7.6817564582512,7.68347298157834,7.68422362081375,7.38205262846644,8.0005621427111,7.79345927812807,7.90191397025214,7.70791347455429,7.90946490358753,7.73954057202614,7.98125741846107,7.70662113091051
"NM_001282634",8.51221815788484,8.72171256899123,8.56623657724782,8.82301902533117,8.37544515429864,8.39845238743249,8.28309333941765,8.46190544566542,8.45417932705477,8.65144349853558,8.54982864722521,8.74475399328781
"NM_001787",7.6817564582512,7.68347298157834,7.68422362081375,7.73489566875631,7.71742585086582,7.38205262846644,7.68230897063899,7.70791347455429,7.66642725412686,7.73954057202614,7.70278987846937,7.70662113091051
"NM_001291950",9.07624114060607,9.56222871414322,9.52598568623535,9.28835218403312,9.18700572743058,9.07311741605708,7.68230897063899,8.08123660571358,9.17128941215259,9.34159303872247,9.46741026390156,8.45440710159803
"NM_018053",8.91422049524779,8.67348172329929,8.8677157661397,8.73499734423442,8.8215566986963,8.84253330377098,8.68263562695542,8.75212219656408,8.53487988377619,8.69231988081214,8.76547008036295,8.63660579403361
"NM_015553",8.12717691862658,9.05728757157905,11.1490552940554,9.16542531822809,10.6233626391176,10.4921734894916,9.05143821614531,9.7413865565747,9.18917111098845,8.09326002622613,9.55375910056359,8.3237139804122
"NM_016141",9.92356890362023,9.97057020120596,9.83078734651485,9.92745448868086,10.1301826584146,10.0842162096105,10.1337303664801,10.0139392309568,10.0905309222934,10.0693054712818,10.0282477045793,9.9929607561267
"NM_021209",7.6817564582512,7.68347298157834,7.38205262846644,7.73489566875631,7.71742585086582,7.79345927812807,7.68230897063899,7.70791347455429,7.66642725412686,7.73954057202614,7.70278987846937,7.70662113091051
